restaurant,itemid,scheduleid,section,section_schedule_name
mobileorderprodapi.transactcampus.com,7249291,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,7111879,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8512134,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8621606,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8628888,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8628889,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8761682,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8761683,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8761684,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8761685,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8761686,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8773380,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8773381,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,8773382,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,6219626,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,6219635,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,6219636,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,6219641,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,6219642,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,6219621,14961,The Slice Lunch Specials,
mobileorderprodapi.transactcampus.com,7249291,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,6219621,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,6219626,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,6219635,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,6219636,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,6219641,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,6219642,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8391562,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8621606,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8628888,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8628889,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8761689,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8761690,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8761691,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8761692,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8761693,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8773383,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8773385,14962,The Slice Dinner Specials,
mobileorderprodapi.transactcampus.com,8674741,14961,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674741,14962,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674738,14961,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674738,14962,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674739,14961,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674739,14962,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674740,14961,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674740,14962,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674787,14961,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8674787,14962,The Slice Value Menu,
mobileorderprodapi.transactcampus.com,8761687,14961,The Slice - Student Tour Groups,
mobileorderprodapi.transactcampus.com,8761688,14961,The Slice - Student Tour Groups,
mobileorderprodapi.transactcampus.com,6219622,14961,The Slice Allergen,
mobileorderprodapi.transactcampus.com,6219622,14962,The Slice Allergen,
mobileorderprodapi.transactcampus.com,6219623,14961,The Slice Allergen,
mobileorderprodapi.transactcampus.com,6219623,14962,The Slice Allergen,
mobileorderprodapi.transactcampus.com,6700992,15229,Late Night,
mobileorderprodapi.transactcampus.com,6219635,15229,Late Night,
mobileorderprodapi.transactcampus.com,6219636,15229,Late Night,
mobileorderprodapi.transactcampus.com,6219622,15229,Late Night,
mobileorderprodapi.transactcampus.com,6219623,15229,Late Night,
mobileorderprodapi.transactcampus.com,8530783,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6218668,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6218670,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6218669,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6218672,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6182068,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6218671,14953,La Parilla Breakfast,
mobileorderprodapi.transactcampus.com,6218665,14952,La Parilla Express Breakfast,
mobileorderprodapi.transactcampus.com,6218666,14952,La Parilla Express Breakfast,
mobileorderprodapi.transactcampus.com,6182068,14952,La Parilla Express Breakfast,
mobileorderprodapi.transactcampus.com,8114509,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8114509,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218677,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218677,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218676,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218676,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6182068,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6182068,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218679,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218679,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218675,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218675,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218678,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218678,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6317262,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6317262,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8688946,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8688946,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8691613,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8691613,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8750399,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8750399,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8756974,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8756974,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8773390,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8773390,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8773391,14954,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8773391,14955,La Parilla Lunch & Dinner,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884433,14953,La Parilla Breakfast Allergen,
mobileorderprodapi.transactcampus.com,7884434,14953,La Parilla Breakfast Allergen,
mobileorderprodapi.transactcampus.com,8064589,14954,La Parilla- Student Tour Groups,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8064590,14954,La Parilla- Student Tour Groups,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884437,14954,La Parilla Lunch & Dinner Allergen,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884437,14955,La Parilla Lunch & Dinner Allergen,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884435,14954,La Parilla Lunch & Dinner Allergen,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884435,14955,La Parilla Lunch & Dinner Allergen,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884436,14954,La Parilla Lunch & Dinner Allergen,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,7884436,14955,La Parilla Lunch & Dinner Allergen,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218677,15122,La Parilla Late Night,
mobileorderprodapi.transactcampus.com,6218673,15122,La Parilla Late Night,
mobileorderprodapi.transactcampus.com,6219262,15122,La Parilla Late Night,
mobileorderprodapi.transactcampus.com,6218678,15122,La Parilla Late Night,
mobileorderprodapi.transactcampus.com,6218673,14954,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218673,14955,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8674788,14954,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8674788,14955,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8674795,14954,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8674795,14955,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6219262,14954,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6219262,14955,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218674,14954,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6218674,14955,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8674790,14954,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,8674790,14955,La Parilla Value Menu,DS23 MP La Parilla M F MO
mobileorderprodapi.transactcampus.com,6171215,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171215,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171212,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171212,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171223,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171223,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171213,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171213,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171217,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171217,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171214,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171214,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171221,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171221,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171220,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171220,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171216,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171216,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171219,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171219,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171226,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171226,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171222,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171222,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171227,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171227,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171228,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171228,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171225,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171225,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171231,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171231,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171229,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171229,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171230,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171230,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6317305,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6317305,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6317304,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6317304,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8059169,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8059169,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,7550520,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,7550520,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171224,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171224,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171218,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171218,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,7103827,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,7103827,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6701029,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6701029,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8656406,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8656406,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8656407,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8656407,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6993000,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6993000,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8763276,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8763276,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8763277,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8763277,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8763278,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8763278,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8339743,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8339743,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171205,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171205,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171206,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171206,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171208,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171208,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171210,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171210,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8437742,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8437742,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8437743,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8437743,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8481425,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,8481425,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171211,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171211,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171204,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171204,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
mobileorderprodapi.transactcampus.com,6171207,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
