restaurant,itemid,option_group,max_select,value,value_price_c
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza crust options,1,Gluten Free,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza crust options,1,Regular,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza sauce options,1,Garlic Cream Sauce,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza sauce options,1,Marinara,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza sauce options,1,No sauce,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Artichoke,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Bell Peppers,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Green Onion,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Mushroom,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Olive,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Pineapple,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza Veggie Options,3,Red Onion,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza cheese Options,1,Cheese,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza cheese Options,1,No Cheese,0
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza protein options,3,Chicken,200
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza protein options,3,Ham,200
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza protein options,3,Impossible Meat,200
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza protein options,3,Italian Sausage,200
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza protein options,3,Pepperoni,200
mobileorderprodapi.transactcampus.com,7249291,BYO Pizza protein options,3,Vegan Ham,200
mobileorderprodapi.transactcampus.com,8674741,Salad Options - Value Menu,1,Caesar Salad,0
mobileorderprodapi.transactcampus.com,8674741,Salad Options - Value Menu,1,Pesto Pasta Salad,0
mobileorderprodapi.transactcampus.com,8674741,Pizza Options - Value Menu,1,Cheese Slice,0
mobileorderprodapi.transactcampus.com,8674741,Pizza Options - Value Menu,1,Pepperoni Slice,0
mobileorderprodapi.transactcampus.com,6700992,DS23 Pizza Party,1,Whole Cheese Pizza,3000
mobileorderprodapi.transactcampus.com,6700992,DS23 Pizza Party,1,Whole Pepperoni Pizza,3500
mobileorderprodapi.transactcampus.com,6218668,Protein Options,1,Apple Chicken Sausage,0
mobileorderprodapi.transactcampus.com,6218668,Protein Options,1,Bacon,0
mobileorderprodapi.transactcampus.com,6218668,Protein Options,1,Chorizo,0
mobileorderprodapi.transactcampus.com,6218668,Protein Options,1,Soyrizo,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,House made Salsa,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,Montery Jack Cheddar Cheese,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,Scrambled Eggs,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,Tater Tots,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,NO Cheese,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,NO Egg,0
mobileorderprodapi.transactcampus.com,6218668,Options,4,NO Potato,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,House made Salsa,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,Montery Jack Cheddar Cheese,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,Scrambled Eggs,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,Soyrizo,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,Tater Tots,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,NO Cheese,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,NO Egg,0
mobileorderprodapi.transactcampus.com,6218670,Options,4,NO Potato,0
mobileorderprodapi.transactcampus.com,6218669,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,6218669,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,6218669,Protein Options,1,Apple Chicken Sausage,0
mobileorderprodapi.transactcampus.com,6218669,Protein Options,1,Bacon,0
mobileorderprodapi.transactcampus.com,6218669,Protein Options,1,Chorizo,0
mobileorderprodapi.transactcampus.com,6218669,Protein Options,1,Soyrizo,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,House made Salsa,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,Montery Jack Cheddar Cheese,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,Scrambled Eggs,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,Tater Tots,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,NO Cheese,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,NO Egg,0
mobileorderprodapi.transactcampus.com,6218669,Options,4,NO Potato,0
mobileorderprodapi.transactcampus.com,6218672,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,6218672,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,House made Salsa,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,Montery Jack Cheddar Cheese,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,Scrambled Eggs,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,Soyrizo,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,Tater Tots,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,NO Cheese,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,NO Egg,0
mobileorderprodapi.transactcampus.com,6218672,Options,4,NO Potato,0
mobileorderprodapi.transactcampus.com,6218665,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,6218665,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,6218665,Cheese Options,1,Cheese,0
mobileorderprodapi.transactcampus.com,6218665,Cheese Options,1,No Cheese,0
mobileorderprodapi.transactcampus.com,6218666,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,6218666,Tortilla,1,Whole Wheat Tortilla,0
