itemid,scheduleid,section,section_schedule_name
6171215,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171215,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171212,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171212,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171223,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171223,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171213,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171213,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171217,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171217,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171214,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171214,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171221,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171221,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171220,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171220,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171216,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171216,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171219,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171219,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171226,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171226,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171222,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171222,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171227,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171227,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171228,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171228,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171225,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171225,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171231,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171231,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171229,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171229,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171230,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171230,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6317305,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6317305,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6317304,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6317304,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8059169,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8059169,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
7550520,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
7550520,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171224,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171224,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171218,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171218,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
7103827,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
7103827,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6701029,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6701029,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8656406,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8656406,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8656407,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8656407,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6993000,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6993000,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8763276,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8763276,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8763277,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8763277,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8763278,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8763278,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8339743,14823,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
8339743,14894,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171205,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171205,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171206,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171206,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171208,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171208,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171210,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171210,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8437742,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8437742,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8437743,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8437743,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8481425,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8481425,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171211,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171211,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171204,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171204,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171207,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171207,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171209,14823,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
6171209,14894,Breakfast Grab & Go,DS23 Cafe Mission Bakery Lunch and Dinner MO
8291815,14823,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8291815,14894,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8291816,14823,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8291816,14894,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8291817,14823,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8291817,14894,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8643791,14823,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8643791,14894,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8691736,14823,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
8691736,14894,Cafe Dessert,DS23 Cafe Mission Bakery Lunch and Dinner MO
