itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6164593,Bacon Egg and Cheese Breakfast Sandwich,"Toasted English muffin, cage-free fried egg, American cheese, crisp bacon",675,675,,450,26,26,27,2,3,245,1260,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-03-08 12:00:00,True
6164613,Egg and Cheese Breakfast Sandwich,"Toasted English muffin, cage-free fried egg, American cheese",580,580,,320,16,16,27,2,3,215,780,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-03-08 12:00:00,True
6164596,Lox Bagel Sandwich,"Plain bagel, smoked Atlantic salmon, chive cream cheese, capers, and sliced cucumbers.",1165,1165,,270,2,13,48,0,4,5,590,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-09 11:00:00,False
6164603,Chia Seed Pudding,"Chia seeds, oat milk, honey, fresh mixed berries",560,560,,140,4,4,24,8,13,0,40,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-14 11:00:00,True
6164617,Strawberry Yogurt Parfait,"Vanilla yogurt, honey oat granola, honey and strawberries.",725,725,,440,3,30,60,6,15,25,120,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-04-15 11:00:00,True
6164620,Ham Croissant Breakfast Sandwich,"Savory butter croissant, house-made rosemary glazed ham, cage-free fried egg and Swiss cheese",660,660,,340,20,25,15,0,3,210,880,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-14 11:00:00,True
6164621,Hard Boiled Eggs (2ea),2 Hard Boiled Eggs,375,375,,130,8,11,1,0,0,32,125,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-14 11:00:00,True
6164639,Overnight Oats,"Old-fashioned rolled oats, organic Straus whole milk, honey, and fresh mixed berries.",560,560,,290,6,10,51,8,9,5,35,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-14 11:00:00,True
8438657,Uncrustable - Grape,Grape Uncrustable,299,299,items/cover_item_4_4_2503_1726852363909.jpg,0,0,0,0,0,0,0,0,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-04-16 11:00:00,True
8438658,Uncrustable - Strawberry,Strawberry Uncrustable,299,299,items/cover_item_4_4_2503_1726852097827.jpg,0,0,0,0,0,0,0,0,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-04-16 11:00:00,True
8484981,Uncrustable - Chocolate Hazelnut,Chocolate Hazelnut Uncrustable,299,299,items/cover_item_4_4_2503_1726852432657.jpg,0,0,0,0,0,0,0,0,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-04-16 11:00:00,True
8061756,Refresher,Refresher,0,665,,140,0,0,0,0,21,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164614,Espresso,Concentrated drink made with specially roasted coffee beans,0,335,,5,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6993822,Lemonade Tea,Lemonade Tea,0,455,,90,0,0,0,0,33,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-03-08 12:00:00,True
7103951,Lavender Latte,,0,580,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164638,Churro Latte,Cold brew infused with nitrogen gas,0,520,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,False
6164602,Chai Latte,"Freshly brewed black tea, warming spices, a hint of sweetness, and extra frothy milk",0,525,,270,0,0,0,0,21,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-04-22 11:00:00,True
6164628,Italian Soda,Soft drink made from carbonated water and flavored syrup,0,385,,180,0,0,0,0,33,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164623,Hot Chocolate,Hot Chocolate,0,395,,370,0,0,41,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6164607,Cold Brew,Made by steeping coffee in water for an extended period of time at a cold temperature,0,505,,5,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,False
6164627,Iced Tea,Iced Tea,0,405,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164626,Iced Coffee,Iced Coffee,0,455,,5,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6164654,White Mocha,"A blend of espresso coffee, white chocolate, and milk",0,575,,360,0,0,0,0,58,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-03-08 12:00:00,True
6164631,Lemonade,Lemonade,0,365,,130,0,0,0,0,27,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
8345834,Blackberry London Fog,,0,550,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164629,Latte,A type of coffee made with espresso and hot steamed milk,0,505,,180,0,0,0,2,17,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
